1;"C4";"C_0805_2012Metric";1;"100N";;;X
7;"C6,C8,C9,C10,C7,C5";"C_0805_2012Metric";6;"100NF";;;X

2;"R15,R16,R13,R14";"R_0805_2012Metric";4;"20K";;;X

4;"R9,R6,R5,R11,R10,R12,R8,R7";"R_0805_2012Metric";8;"1K";;;x
5;"R4,R1,R2,R3";"R_0805_2012Metric";4;"4.7M";;;x

8;"U4,U3";"SOIC-14_3.9x8.7mm_P1.27mm";2;"4013";;x;
9;"C3,C1,C2";"CP_EIA-3216-18_Kemet-A";3;"10u";;;

10;"D1,D2";"D_SOD-123";2;"1N5819";;;
11;"U2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"40106";;;
12;"U5";"SOIC-16_3.9x9.9mm_P1.27mm";1;"ADG412BNZ";;;
14;"U1";"TO-252-2";1;"LM1117-5.0";;;
