Comment,Designator,Footprint,LCSC
1NF,"C10,C11,C12,C13,C14,C15,C16,C9",C_0805,C46653
10uF,C1,SMD-1206_Pol,
10uF,C2,SMD-1206_Pol,
10uF,C3,SMD-1206_Pol,
100nF,C4,C_0805,
10uF,C5,SMD-1206_Pol,
100nF,C6,C_0805,
10uF,C7,SMD-1206_Pol,
100nF,C8,C_0805,
1N,C17,C_0805,
1N,C18,C_0805,
1N,C19,C_0805,
1N,C20,C_0805,
100nF,C21,C_0805_2012Metric,
100nF,C22,C_0805_2012Metric,
100P,C25,C_0805,
100P,C26,C_0805,
100P,C27,C_0805,
100P,C28,C_0805,
18pF,C29,C_0805,
18pF,C30,C_0805,
100nF,C31,C_0805,
4.7uF,C32,SMD-1206_Pol,
100nF,C33,C_0805,
100nF,C34,C_0805,
100nF,C35,C_0805,
100nF,C36,C_0805,
100nF,C37,C_0805,
100nF,C38,C_0805,
100nF,C49,C_0805,
100nF,C50,C_0805,
100nF,C51,C_0805,
100nF,C52,C_0805,
100nF,C53,C_0805,
100nF,C54,C_0805,
100nF,C55,C_0805,
100nF,C56,C_0805,
100nF,C57,C_0805,
100nF,C58,C_0805,
100nF,C59,C_0805,
100nF,C60,C_0805,
100nF,C63,C_0805,
100nF,C64,C_0805,
100nF,C65,C_0805,
100nF,C66,C_0805,
D,D1,D_SOD-123,
D,D2,D_SOD-123,
INDUCTOR,L1,R_0603,
Q_PNP_BEC,Q1,SOT-23,
Q_PNP_BEC,Q2,SOT-23,
Q_PNP_BEC,Q3,SOT-23,
Q_PNP_BEC,Q4,SOT-23,
1K,R1,R_0805,
1K,R2,R_0805,
1K,R3,R_0805,
1K,R4,R_0805,
1K,R5,R_0805,
1K,R6,R_0805,
220k,R7,R_0805,
220k,R8,R_0805,
220k,R9,R_0805,
220K,R10,R_0805,
33k,R11,R_0805,
33k,R12,R_0805,
33k,R13,R_0805,
33K,R14,R_0805,
1K,R15,R_0805,
1K,R16,R_0805,
1K,R17,R_0805,
1K,R18,R_0805,
100k,R19,R_0805,
100k,R20,R_0805,
100k,R21,R_0805,
100K,R22,R_0805,
22K,R23,R_0805,
22K,R24,R_0805,
22K,R25,R_0805,
22K,R26,R_0805,
10K,R27,R_0805,
10K,R28,R_0805,
3.3M,R29,R_0805,
3.3M,R30,R_0805,
3.3M,R31,R_0805,
3.3M,R32,R_0805,
3.3M,R33,R_0805,
3.3M,R34,R_0805,
1K,R35,R_0805,
1K,R36,R_0805,
1K,R37,R_0805,
1K,R38,R_0805,
1K,R39,R_0805,
1K,R40,R_0805,
3.3M,R41,R_0805,
3.3M,R42,R_0805,
3.3M,R43,R_0805,
3.3M,R44,R_0805,
3.3M,R45,R_0805,
1K,R47,R_0805,
1K,R48,R_0805,
1K,R49,R_0805,
1K,R50,R_0805,
1K,R51,R_0805,
620R,R53,R_0805,
620R,R54,R_0805,
620R,R55,R_0805,
620R,R56,R_0805,
620R,R57,R_0805,
620R,R58,R_0805,
620R,R59,R_0805,
620R,R60,R_0805,
1K,R61,R_0805,
1K,R62,R_0805,
1K,R63,R_0805,
1K,R64,R_0805,
1K,R65,R_0805,
1K,R66,R_0805,
10K,R85,R_0805,
10K,R86,R_0805,
10K,R87,R_0805,
10K,R88,R_0805,
10K,R89,R_0805,
10K,R90,R_0805,
LM1117-5.0,U1,TO-252-2,
LM1117-3.3,U2,TO-252-2,
TL074,U3,SOIC-14_3.9x8.7mm_Pitch1.27mm,
TL074,U4,SOIC-14_3.9x8.7mm_Pitch1.27mm,
TL074,U5,SOIC-14_3.9x8.7mm_Pitch1.27mm,
4051,U6,SOIC-16_3.9x9.9mm_Pitch1.27mm,
LM13700,U7,SOIC-16_3.9x9.9mm_Pitch1.27mm,
LM13700,U8,SOIC-16_3.9x9.9mm_Pitch1.27mm,
TL074,U9,SOIC-14_3.9x8.7mm_Pitch1.27mm,
TL074,U10,SOIC-14_3.9x8.7mm_Pitch1.27mm,
STM32F413was446RETx,U11,LQFP-64_10x10mm_Pitch0.5mm,
40106,U13,SOIC-14_3.9x8.7mm_Pitch1.27mm,
40106,U14,SOIC-14_3.9x8.7mm_Pitch1.27mm,
8MHz,Y1,Crystal_SMD_HC49-SD,
100R,R46,R_0805,
20KNOW,R52,R_0805,
220K,R67,R_0805,
220K,R68,R_0805,
220K,R69,R_0805,
220K,R70,R_0805,
10k,R71,R_0805,
BAT54S,D8,SOT-23,
BAT54S,D6,SOT-23,
BAT54S,D3,SOT-23,
BAT54S,D4,SOT-23,
BAT54S,D5,SOT-23,
BAT54S,D11,SOT-23,
BAT54S,D9,SOT-23,
BAT54S,D7,SOT-23,
BAT54S,D10,SOT-23,
10K,R76,R_0805_2012Metric,
TL074,U12,SOIC-14_3.9x8.7mm_P1.27mm,
10K,R79,R_0805_2012Metric,
10K,R78,R_0805_2012Metric,
10K,R77,R_0805_2012Metric,
10K,R75,R_0805_2012Metric,
10K,R74,R_0805_2012Metric,
10K,R73,R_0805_2012Metric,
10K,R72,R_0805_2012Metric,
