XX4;"C1, C2, C3, C5, C7";"SMD-1206_Pol";5;"10uF";;;Voltages: C1, c2=20v rest 10v

XX5;"C4, C6, C8, C31, C33, C34, C35, C36, C37, C38, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C63, C64, C65, C66";"C_0805";26;"100nF";;;

XX6;"C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20";"C_0805";8;"1NF";;;
XX7;"C17, C18, C19, C20";"C_0805";4;"1N";;;

XX11;"C32";"SMD-1206_Pol";1;"4.7uF";;;
XX8;"C21, C22, C23, C24, C32";"SMD-1206_Pol";4;"4.7U";;;

XX9;"C25, C26, C27, C28";"C_0805";4;"100P";;;

XX10;"C29, C30";"C_0805";2;"18pF";;;

////

XX12;"D1, D2";"D_SOD-123";2;"D";;;???
XX40;"D8, D6, D3, D4, D5, D11, D9, D7, D10";"SOT-23";9;"BAT54S";;;

XX14;"L1";"R_0603";1;"INDUCTOR";;;

XX15;"Q1, Q2, Q3, Q4";"SOT-23";4;"Q_PNP_BEC";;;


XX16;"R1, R2, R3, R4, R5, R6, R15, R16, R17, R18, R35, R36, R37, R38, R39, R40, R47, R48, R49, R50, R51, R61, R62, R63, R64, R65, R66";"R_0805";27;"1K";;;

XX17;"R7, R8, R9, R10, R67, R68, R69, R70";"R_0805";3;"220k";;;
XX18;"R10, R67, R68, R69, R70";"R_0805";5;"220K";;;

XX19;"R11, R12, R13, R14";"R_0805";3;"33k";;;
XX20;"R14";"R_0805";1;"33K";;;

XX21;"R19, R20, R21, R22";"R_0805";3;"100k";;;
XX22;"R22";"R_0805";1;"100K";;;

XX23;"R23, R24, R26";"R_0805";3;"27K";;;

XX24;"R25, R52";"R_0805";1;"20k";;;
XX37;"R52";"R_0805";1;"20K";;;

XX26;"R29, R30, R31, R32, R33, R34, R41, R42, R43, R44, R45";"R_0805";11;"3.3M";;;

XX27;"R53, R54, R55, R56, R57, R58, R59, R60";"R_0805";8;"620R";;;

XX36;"R46";"R_0805";1;"100R";;;

XX25;"R27, R28, R71, R85, R86, R87, R88, R89, R90";"R_0805";8;"10K";;;
XX39;"R71";"R_0805";1;"10k";;;
XX28;"U1";"TO-252-2";1;"LM1117-5.0";;;
XX29;"U2";"TO-252-2";1;"LM1117-3.3";;;

XX30;"U3, U4, U5, U9, U10";"SOIC-14_3.9x8.7mm_Pitch1.27mm";5;"TL074";;;

XX31;"U6";"SOIC-16_3.9x9.9mm_Pitch1.27mm";1;"4051";;;
XX32;"U7, U8";"SOIC-16_3.9x9.9mm_Pitch1.27mm";2;"LM13700";;;
XX34;"U13, U14";"SOIC-14_3.9x8.7mm_Pitch1.27mm";2;"40106";;;


XX33;"U11";"LQFP-64_10x10mm_Pitch0.5mm";1;"STM32F413RGT6";;;413



XX35;"Y1";"Crystal_SMD_HC49-SD";1;"8MHz";;;

